dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl
146.35,2250.42,1152.64,343,809.9,249373,5886071.2,3.6401875,6.1097,0.923154,62.91,0.12005886,117.9,0.57355902,0.102657098,27020
205.77,2447.4,1242.7,69.1,1283.5,294014,6843562,3.6833553,6.5105,0.960926,63.94,0.12528863,128.62,0.55701859,0.100592151,29775
224.45,2632.62,1276.09,91.16,1143.9,261435,7681473,3.7488584,6.8569,0.955849,64.96,0.12843368,133.82,0.54491443,0.099064737,32657.6
264.85,4768.88,1906.83,208.8,1613.54,307264,8535689.1,3.8885672,7.3276,1.02539,66.32,0.15496675,131.5,0.49644279,0.097287185,35537.1
268.1,4720.62,2159.71,336.16,1116.48,393147,9357877.1,3.8376631,7.8384,1.10297,67.72,0.14759914,129.27,0.47311088,0.095832658,38529
318.05,5455.12,2464.57,207.56,1794.18,377115,10301447,3.8161182,8.5612,1.17103,68.91,0.1454621,134.18,0.4869093,0.095168428,42045.7
357.45,5970.97,2653.79,149.19,4101.33,455590,11473921,3.955496,9.323,1.21379,70.02,0.15355814,144.83,0.49326924,0.095481349,45839.8
387.49,6284.4,2778.91,184.01,6717,435883,12742260,4.0584128,9.877,1.29568,71.58,0.16123095,149.34,0.49392883,0.095565271,49898.8
406.88,6031.51,2938.83,167.5,8309.99,507050,13958988,4.5787028,10.0738,1.37175,72.17,0.15603614,132.96,0.52152929,0.095430051,52397.4
96.63,1063.77,507.01,11.93,372.2,74888,2089813.8,2.3243424,3.0697,0.765063,46.3,0.23013004,60.5,0.13520212,0.124961994,13593
150.83,1124.6,546.8,21.16,534,93353,2477246.1,2.4247534,3.4404,0.799093,47.87,0.22620073,65.65,0.13695495,0.122648464,15154.3
180.59,1175.7,563.82,35.6,549.2,99160,2847303.2,2.5346126,3.758,0.841523,49.31,0.22371128,69.31,0.13414314,0.12134097,16795.5
211.28,2211.53,913.29,48.9,707.27,127709,3221421.9,2.7706819,3.9692,0.979563,50.97,0.23807589,68.17,0.12504401,0.120801248,18362.6
228.78,2527.33,1075.03,74.54,489.54,172552,3709223.8,2.9539463,4.3686,1.06798,52.62,0.22627974,70.1,0.11213582,0.121872634,19998.1
271.6,2872.24,1323.65,72.15,831.8,175872,4361174.8,3.0094345,4.9092,1.13654,54.29,0.22961766,78.09,0.12290766,0.124018144,21863.3
303.83,3373.97,1662.42,90.47,2260.95,207428,4973027.4,3.0210432,5.6063,1.22591,55.65,0.21902021,87.54,0.12226654,0.127300609,23983.6
330.29,3481.29,1864.7,151.36,4006.7,166871,5765370.5,2.6870602,6.0561,1.2665,57.02,0.19917616,91.8,0.12868224,0.129635571,26415.1
350.16,3543.65,2092.99,154.83,5053.59,202298,6394210.6,2.9108468,6.2411,1.29203,58.33,0.19321288,98.74,0.14034658,0.13195459,28103.2
123.21,1439.84,737.95,81.57,514.2,42773,2381656.2,2.4102035,5.2959,0.763255,59.32,0.13234845,108.8,0.48753057,0.112943556,19141
183.1,1439.4,835.6,66.13,738.4,53701,2791965.8,2.510562,5.8255,0.758389,60.8,0.14032976,114.02,0.46598272,0.112306023,21218
202.59,1618.68,899.17,90.21,694.3,58075,3153831.2,2.5735915,6.3709,0.753595,61.99,0.1374598,112.37,0.43692427,0.114095209,23330.8
245.21,2335.32,1044.8,200.6,860.61,83146,3469810.1,2.7151805,6.7649,0.811819,63.22,0.15402647,108.2,0.39211767,0.116537801,25404.4
252.67,2482.29,1144.62,509.59,588.52,130376,3882632.1,2.7168492,7.4024,0.870394,64.39,0.14839687,107.36,0.35180943,0.118928362,27607.9
299.28,2861.77,1373.6,882.49,908.95,128079,4487933.8,2.6718743,8.3758,0.941516,65.78,0.14555145,109.82,0.34119717,0.121123838,30047.8
334.44,3244.96,1629.12,736.37,2026.23,166610,5249416.9,2.5783794,9.4719,0.926421,66.98,0.13497639,115.54,0.32055299,0.125121442,32643.9
360.51,3232.05,1779.04,695.12,3235.5,153133,5985139.2,2.4172001,10.2722,0.98007,67.87,0.11977662,118.81,0.31473761,0.129267561,35616.1
380.13,3370,1831.02,324.9,3908.46,174867,6669130.9,2.6477511,10.5818,1.02682,68.75,0.11880721,114.09,0.31983926,0.133432129,37202.4
91.93,719.32,371.99,7.71,278.7,12458,925984.5,2.1561015,2.862373,0.64921,47.39,0.23316457,57.3,0.16468593,0.159184939,13567
146.13,868.6,410.1,9.61,379.2,16938,1106442.9,2.2688389,3.195212,0.665331,49.04,0.24082264,62.07,0.15914411,0.149959093,15099.7
175.69,975.14,434.24,18.01,394.4,25594,1284642.3,2.3832378,3.498834,0.704273,50.55,0.2470755,64.69,0.16753271,0.151441875,16734.2
208.35,1693.24,710.94,35.6,550.37,36936,1474968.4,2.6073113,3.743645,0.800556,52.3,0.26384884,66.37,0.1573704,0.154208205,18437.1
223.76,2055.59,822.5,38.5,386.54,60494,1797561.3,2.7543435,4.094998,0.900307,53.99,0.24960268,68.39,0.14458996,0.155099377,20109.6
267.17,1985.92,997.07,33.23,661.48,70591,2216865.2,2.9208835,4.487794,0.945611,55.7,0.25549289,74.62,0.14812276,0.157534117,22031.5
296.23,2032.68,1323.36,77.1,1609.18,86001,2677714,2.9956088,5.034688,1.06713,57.34,0.25779198,87,0.1403722,0.161543652,24079.7
319.13,2369.5,1448.78,156.68,2838.5,91474,3202150.6,3.024223,5.464014,1.08955,59.07,0.25797435,89.09,0.14231925,0.163207595,26262.5
340.61,2532.85,1510.52,130.67,3537.88,109738,3460219.1,3.3310862,5.7065,1.11904,60.44,0.25977775,94.04,0.15578655,0.16311071,28016.5
100.35,2144.86,1364.12,46.9,797.5,128614,9056006.8,1.9652054,4.434761,0.828844,52.03,0.11805913,78.7,0.36082308,0.115400917,17126.7
159.3,2537,1465.1,432.39,1063.8,155170,10528097,2.0153783,4.867311,0.896462,53.46,0.12110738,85.62,0.34865508,0.114351149,19008.3
181.88,2949.1,1523.9,304.17,1066.8,158619,11755482,2.0666523,5.193294,0.954892,54.77,0.12077607,88.5,0.33503271,0.115674521,20864.2
220.66,4003.35,1980.82,199.3,1269.06,193220,12917718,2.1564091,5.620493,1.03047,56.97,0.13094769,92.3,0.27104976,0.117023931,22703.2
232.57,4680.02,2366.53,172.07,863.38,212911,14150035,2.2187156,5.923934,1.10961,59.13,0.12870673,96.46,0.26490736,0.117689983,24685.3
272.06,5596.91,2588.74,119.65,1499,204859,15636785,2.2288772,6.29932,1.16075,60.79,0.12746621,99.38,0.28346859,0.119936131,26929.9
301.13,6312.27,2884.82,151.66,3659.14,231585,14184975,2.2783307,6.628431,1.24165,61.46,0.13209159,105.2,0.29031363,0.1226454,29204.6
327.36,6915.23,3186.1,177.31,5786.4,263211,12109485,2.6884922,6.990089,1.3223,61.86,0.15112049,107.1,0.29044644,0.125340263,31597
347.81,6756.76,3445.62,181.99,7198.8,337280,13656187,2.9568297,7.1825,1.3697,63.05,0.15361238,107.43,0.30202562,0.127105881,32885.7
83.68,1435.71,927.62,22.8,610.9,43442,2489651,1.7659905,3.0497,0.687532,41.99,0.16913908,61.6,0.11276926,0.181032637,12772
142.08,1747,1000.5,36.75,837.8,55920,2953409.5,1.898106,3.3114,0.738331,43.6,0.17341052,76.49,0.11738714,0.158179985,14203.7
166.65,2016.41,1087.93,63.29,894.5,62434,3372309.5,1.9896394,3.5982,0.784552,45.05,0.17255277,81.74,0.11543416,0.157336091,15695.2
205.34,3241.88,1488.98,103.2,1164.37,74373,3688252.4,2.164225,3.8338,0.842477,47.02,0.18375549,79.51,0.12391695,0.158352201,17124.8
223.12,4345.79,1767.23,117.75,757.67,94669,4096961.7,2.2761533,4.1326,0.905825,48.78,0.18417125,82.76,0.11752224,0.161690806,18443.1
266.92,4475.85,2128.38,123.18,1484.62,119240,4722542,2.3025339,4.5723,0.942933,50.56,0.18439951,89.48,0.11693118,0.164483569,20170
295.76,4780.81,2503.91,207.48,3950.31,154381,5289250,2.3691929,5.0714,1.07022,52.24,0.1918122,97.39,0.10974288,0.167937074,21963.5
322.12,4752.84,2769.2,313.52,5999.1,144010,6087152.7,2.3528655,5.4356,1.13071,54.01,0.18732178,102.09,0.10594608,0.171380396,23902.7
340.81,4934.54,3090.94,273.05,8156.78,178585,6855770.4,2.575914,5.4691,1.20087,55.43,0.18860394,101.16,0.1219895,0.172875647,24810.1
101.42,1023.53,707.98,15.65,438.7,51316,2633099.2,2.1253548,3.914893,0.78579,53.23,0.16897591,79.1,0.08931525,0.102399343,14809
164.76,1153.2,813.3,21,610.2,50816,3117986.6,2.2106234,4.383455,0.898846,54.51,0.1763343,76.16,0.08878126,0.099248844,16472.5
190.14,1266.06,869.73,35.49,620.4,59050,3629506.1,2.256624,4.863463,0.940398,55.73,0.18021515,79.21,0.09361335,0.094678422,18283.2
226.75,2061.13,1014.36,133.2,828.34,74240,4072725.7,2.3979712,5.202126,1.00701,57.18,0.2075398,77.42,0.09350108,0.095715915,20025.6
239.86,2594.68,1131.88,101.96,515.29,95157,4459621.6,2.5046609,5.684363,1.06144,58.57,0.19662958,79.59,0.07844333,0.097217349,21786.6
285.28,2605.51,1242.92,78.97,857.64,110234,4689376.8,2.5909935,6.316906,1.14499,59.88,0.1917031,84.62,0.08402295,0.099123035,23757.2
319.48,2961.29,1480.73,106.21,2040.03,124535,5255193.9,2.5880373,7.109712,1.18926,61,0.18437658,94.13,0.08311756,0.102705898,25814.5
344.4,3062.28,1708.32,206.33,3370.8,141321,5865142.5,2.4609254,7.6712,1.2229,61.83,0.17391455,95.97,0.08679971,0.105798161,28319.5
358.64,3221.41,1870.16,180.39,4205.17,163613,6109588.3,2.92406,7.3687,1.43956,62.89,0.19434162,98.37,0.09882854,0.111553397,27880.6
93.71,1070.16,604.39,14.28,442.5,35709,2290876.8,1.7511691,3.220292,0.877709,46.22,0.18592388,64.6,0.06533223,0.119508088,14391
147.71,1219.6,702.4,17.98,595.3,41336,2703987.2,1.8283528,3.570165,0.920147,47.63,0.19051876,68.3,0.06621975,0.119121106,16004.9
167.27,1498.31,744.92,32.52,663.7,44194,3100445.7,1.8877129,3.918141,0.962791,48.98,0.18557238,70.15,0.0731773,0.121036984,17621.7
206.38,1931.75,910.48,58.6,802.51,54501,3525450.2,2.0912758,4.31553,1.03626,50.79,0.19821042,69.17,0.06394965,0.123765956,19317.5
217.69,2395.26,1066.88,137.19,555.75,67779,3929647.3,2.2036761,4.660642,1.1587,52.7,0.20091552,73.2,0.05649829,0.126455955,21114.8
261.12,2436.01,1315.48,112.45,929.11,77934,4617716.2,2.3177711,5.103049,1.2905,54.62,0.20261918,82.85,0.07191939,0.129038685,23102.7
286.81,2821.1,1635.32,122.28,2477.1,94503,5167217.3,2.346006,5.476286,1.39106,56.09,0.20533809,91.36,0.08465206,0.13262939,25240.8
